Buildings,CalendarDate,FacultyName
College of Business - 507,2026-01-19 - MLK Holiday,Armel
Computer Science - 507,2026-01-21 - First Day of Classes,Armousso
Arts - 108,2026-01-27 - Last Day to Add/Drop Classes,Armandor
Statistics - 800,2026-02-10 - Last Day to Drop Courses Without a 'W',Johnny
Physics - 801,2026-02-13 - No Classes (Presidents' Holiday),Joe
College of Education - 900,2026-02-14 - No Classes (Presidents' Holiday),Leo
Social Science - 905,2026-02-15 - Presidents' Holiday,Kyley
,2026-02-16 - No Classes (Presidents' Holiday),Renee
,2026-03-16 - No Classes (Spring Break),Jenider
,2026-03-17 - No Classes (Spring Break),Jnidal
,2026-03-18 - No Classes (Spring Break),Bigar
,2026-03-19 - No Classes (Spring Break),Georgetown
,2026-03-20 - No Classes (Spring Break),
,2026-03-21 - No Classes (Spring Break),
,2026-03-22 - No Classes (Spring Break),
,2026-03-25 - Summer 2026 Registration Begins,
,2026-04-02 - Fall 2026 Registration Begins,
,2026-04-03 - No Classes (Day of Reflection Recess),
,2026-04-21 - Last Day to Withdraw Without Permission,
,2026-05-10 - Last Day of Classes,
